table,row,reason
idac,2249,"repeat measurements disagree, group dropped"
idac,14503,"repeat measurements disagree, group dropped"
idac,32692,"repeat measurements disagree, group dropped"
idac,39746,"repeat measurements disagree, group dropped"
idac,1190,"repeat measurements disagree, group dropped"
idac,32694,"repeat measurements disagree, group dropped"
idac,38857,"repeat measurements disagree, group dropped"
idac,1192,"repeat measurements disagree, group dropped"
idac,30854,"repeat measurements disagree, group dropped"
idac,32695,"repeat measurements disagree, group dropped"
idac,1224,"repeat measurements disagree, group dropped"
idac,31245,"repeat measurements disagree, group dropped"
idac,39169,repeat disagreement >0.2 in ln gamma
idac,39170,repeat disagreement >0.2 in ln gamma
idac,39171,repeat disagreement >0.2 in ln gamma
idac,39172,repeat disagreement >0.2 in ln gamma
idac,32712,"repeat measurements disagree, group dropped"
idac,39762,"repeat measurements disagree, group dropped"
idac,32616,"repeat measurements disagree, group dropped"
idac,38895,"repeat measurements disagree, group dropped"
idac,2274,"repeat measurements disagree, group dropped"
idac,14574,"repeat measurements disagree, group dropped"
idac,32732,repeat disagreement >0.2 in ln gamma
idac,38867,repeat disagreement >0.2 in ln gamma
idac,31257,repeat disagreement >0.2 in ln gamma
idac,34322,"repeat measurements disagree, group dropped"
idac,34568,"repeat measurements disagree, group dropped"
idac,38610,repeat disagreement >0.2 in ln gamma
idac,38611,repeat disagreement >0.2 in ln gamma
idac,38612,repeat disagreement >0.2 in ln gamma
idac,38613,repeat disagreement >0.2 in ln gamma
idac,32605,"repeat measurements disagree, group dropped"
idac,38881,"repeat measurements disagree, group dropped"
idac,37853,repeat disagreement >0.2 in ln gamma
idac,33034,"repeat measurements disagree, group dropped"
idac,39274,"repeat measurements disagree, group dropped"
idac,32502,"repeat measurements disagree, group dropped"
idac,32682,"repeat measurements disagree, group dropped"
idac,39730,"repeat measurements disagree, group dropped"
idac,32503,repeat disagreement >0.2 in ln gamma
idac,32504,repeat disagreement >0.2 in ln gamma
idac,2783,"repeat measurements disagree, group dropped"
idac,25896,"repeat measurements disagree, group dropped"
idac,31241,"repeat measurements disagree, group dropped"
idac,32569,"repeat measurements disagree, group dropped"
idac,1884,"repeat measurements disagree, group dropped"
idac,39155,"repeat measurements disagree, group dropped"
idac,1885,"repeat measurements disagree, group dropped"
idac,39156,"repeat measurements disagree, group dropped"
idac,1886,"repeat measurements disagree, group dropped"
idac,39157,"repeat measurements disagree, group dropped"
idac,1887,"repeat measurements disagree, group dropped"
idac,39158,"repeat measurements disagree, group dropped"
idac,34312,"repeat measurements disagree, group dropped"
idac,34526,"repeat measurements disagree, group dropped"
idac,34313,"repeat measurements disagree, group dropped"
idac,34530,"repeat measurements disagree, group dropped"
idac,34357,"repeat measurements disagree, group dropped"
idac,34666,"repeat measurements disagree, group dropped"
idac,34358,"repeat measurements disagree, group dropped"
idac,34668,"repeat measurements disagree, group dropped"
idac,34359,"repeat measurements disagree, group dropped"
idac,34670,"repeat measurements disagree, group dropped"
idac,11722,"repeat measurements disagree, group dropped"
idac,11723,"repeat measurements disagree, group dropped"
