name,formula,inchikey,smiles,source
(.+-.)-.alpha.-aminobutyric acid,C4H9NO2,QWCKQJZIFLGMSD-UHFFFAOYSA-N,CCC(N)C(=O)O,xml_inchi
"(.+-.)-1-(3',4'-dihydroxyphenyl)-2-isopropylaminoethanol hydrochloride",C11H18ClNO3,IROWCYIEJAOFOW-UHFFFAOYSA-N,CC(C)NCC(O)c1ccc(O)c(O)c1.Cl,xml_inchi
(.+-.)-2-(2-chlorophenyl)-2-(methylamino)cyclohexanone,C13H16ClNO,YQEZLKZALYSWHR-UHFFFAOYSA-N,CNC1(c2ccccc2Cl)CCCCC1=O,xml_inchi
(.+-.)-anabasine,C10H14N2,MTXSIJUGVMTTMU-UHFFFAOYSA-N,c1cncc(C2CCCCN2)c1,xml_inchi
(.+-.)-cis-3-hexenyl 2-methylbutyrate,C11H20O2,JKKGTSUICJWEKB-SREVYHEPSA-N,CC/C=C\CCOC(=O)C(C)CC,xml_inchi
(.+-.)-citronellal,C10H18O,NEHNMFOYXAPHSD-UHFFFAOYSA-N,CC(C)=CCCC(C)CC=O,xml_inchi
(.+-.)-isomintlactone,C10H14O2,VUVQBYIJRDUVHT-MUWHJKNJSA-N,CC1=C2CC[C@@H](C)C[C@@H]2OC1=O,xml_inchi
(.+-.)-leucine,C6H13NO2,ROHFNLRQFUQHCH-UHFFFAOYSA-N,CC(C)CC(N)C(=O)O,xml_inchi
(.+-.)-phenylalanine,C9H11NO2,COLNVLDHVKWLRT-UHFFFAOYSA-N,NC(Cc1ccccc1)C(=O)O,xml_inchi
(.+-.)-serine,C3H7NO3,MTCFGRXMJLQNBG-UHFFFAOYSA-N,NC(CO)C(=O)O,xml_inchi
(.alpha.Z)-2-amino-.alpha.-(methoxyimino)-4-thiazoleethanethioic acid S-2-benzothiazolyl ester,C13H10N4O2S3,COFDRZLHVALCDU-YVLHZVERSA-N,CO/N=C(\C(=O)Sc1nc2ccccc2s1)c1csc(=N)[nH]1,xml_inchi
"(1'S,6'R)-7-chloro-2',4,6-trimethoxy-6'-methyl-3H-spiro[benzofuran-2,1'-cyclohex[2]ene]-3,4'-dione",C17H17ClO6,DDUHZTYCFQRHIY-RBHXEPJQSA-N,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,xml_inchi
"(1,1'-binaphthalene)-2,2'-diol",C20H14O2,PPTXVXKCQZKFBN-UHFFFAOYSA-N,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,xml_inchi
"(1,1'-binaphthalene)-2,2'-diyl bis(2,2-dimethylpropanoate)",C30H30O4,NZHLGJUQMFMENQ-UHFFFAOYSA-N,CC(C)(C)C(=O)Oc1ccc2ccccc2c1-c1c(OC(=O)C(C)(C)C)ccc2ccccc12,xml_inchi
"(1,1-dimethylethyl)benzene",C10H14,YTZKOQUCBOVLHL-UHFFFAOYSA-N,CC(C)(C)c1ccccc1,xml_inchi
"(1,1-dimethylpropyl)benzene",C11H16,QHTJSSMHBLGUHV-UHFFFAOYSA-N,CCC(C)(C)c1ccccc1,xml_inchi
"(1,2,2-trimethylpropyl)benzene",C12H18,UYOAOYYUSXVILM-UHFFFAOYSA-N,CC(c1ccccc1)C(C)(C)C,xml_inchi
(1-(dimethylamino)propyl)phosphonic acid,C5H14NO3P,KFSDKILNEHMYBW-UHFFFAOYSA-N,CCC(N(C)C)P(=O)(O)O,xml_inchi
(1-(methylamino)propyl)phosphonic acid,C4H12NO3P,TZMMZJQKFQYLJP-UHFFFAOYSA-N,CCC(NC)P(=O)(O)O,xml_inchi
(1-amino-2-methylpropyl)phosphonic acid,C4H12NO3P,DGSLPJDIFKVSIB-UHFFFAOYSA-N,CC(C)C(N)P(=O)(O)O,xml_inchi
(1-amino-3-(methylthio)propyl)phosphonic acid,C4H12NO3PS,XKCSXHUCPYVQIW-UHFFFAOYSA-N,CSCCC(N)P(=O)(O)O,xml_inchi
(1-aminobutyl)phosphonic acid,C4H12NO3P,UAEPDDGDPAPPHZ-UHFFFAOYSA-N,CCCC(N)P(=O)(O)O,xml_inchi
(1-aminoethyl)phosphonic acid,C2H8NO3P,UIQSKEDQPSEGAU-UHFFFAOYSA-N,CC(N)P(=O)(O)O,xml_inchi
(1-aminopropyl)phosphonic acid,C3H10NO3P,DELJNDWGTWHHFA-UHFFFAOYSA-N,CCC(N)P(=O)(O)O,xml_inchi
"(1-benzyl-1H-1,2,3-triazol-4-yl)methanol",C10H11N3O,SXNXKULRKDCYLM-UHFFFAOYSA-N,OCc1cn(Cc2ccccc2)nn1,xml_inchi
(1-methylethenyl)benzene,C9H10,XYLMUPLGERFSHI-UHFFFAOYSA-N,C=C(C)c1ccccc1,xml_inchi
(1-methylethyl)cyclohexane,C9H18,GWESVXSMPKAFAS-UHFFFAOYSA-N,CC(C)C1CCCCC1,xml_inchi
(1-methylpropyl)benzene,C10H14,ZJMWRROPUADPEA-UHFFFAOYSA-N,CCC(C)c1ccccc1,xml_inchi
(1-methylpropyl)urea,C5H12N2O,CBRSBDUOPJQVMP-UHFFFAOYSA-N,CCC(C)NC(=N)O,xml_inchi
"(11.beta.,16.alpha.)-9-fluoro-11,17,21-trihydroxy-16-methylpregna-1.4-diene-3,20-dione",C22H29FO5,UREBDLICKHMUKA-CXSFZGCWSA-N,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,xml_inchi
(11Z)-eicosenoic acid,C20H38O2,BITHHVVYSMSWAG-KTKRTIGZSA-N,CCCCCCCC/C=C\CCCCCCCCCC(=O)O,xml_inchi
"(17.beta.)-estra-1,3,5(10)-triene-3,17diol",C18H24O2,VOXZDWNPVJITMN-ZBRFXRBCSA-N,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,xml_inchi
(1R)-(-)-10-camphorsulfonamide,C10H17NO3S,SBLUNABTQYDFJM-MHPPCMCBSA-N,CC1(C)C2CC[C@]1(CS(N)(=O)=O)C(=O)C2,xml_inchi
(1R)-(-)-10-camphorsulfonic acid,C10H16O4S,MIOPJNTWMNEORI-XVKPBYJWSA-N,CC1(C)[C@H]2CC[C@]1(CS(=O)(=O)O)C(=O)C2,xml_inchi
(1R)-(-)-10-camphorsulfonyl chloride,C10H15ClO3S,BGABKEVTHIJBIW-XVKPBYJWSA-N,CC1(C)[C@H]2CC[C@]1(CS(=O)(=O)Cl)C(=O)C2,xml_inchi
"(1R)-(1,1'-binaphthalene)-2,2'-diyl bis(2,2-dimethylpropanoate)",C30H30O4,NZHLGJUQMFMENQ-UHFFFAOYSA-N,CC(C)(C)C(=O)Oc1ccc2ccccc2c1-c1c(OC(=O)C(C)(C)C)ccc2ccccc12,xml_inchi
"(1R,2R)-1,2-cyclohexanediol",C6H12O2,PFURGBBHAOXLIO-PHDIDXHHSA-N,O[C@@H]1CCCC[C@H]1O,xml_inchi
"(1R,2R)-cyclohexane-1,2-diamine",C6H14N2,SSJXIUAHEKJCMH-PHDIDXHHSA-N,N[C@@H]1CCCC[C@H]1N,xml_inchi
"(1R,2S)-(-)-dimethylephedrinium bis(trifluoromethylsulfonyl)amide",C14H20F6N2O5S2,FIJJGZCATQRJDF-JGAZGGJJSA-N,C[C@@H]([C@H](O)c1ccccc1)[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,xml_inchi
