file,year,dataset,solute,solvent,solute_name,solvent_name,T,gamma_inf,ln_gamma_inf,method
j.fluid.2005.04.021.xml,2005,2,IMNFDUFMRHMDMM-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,heptane,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,308.15,0.74,-0.3011050927839216,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,2,IMNFDUFMRHMDMM-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,heptane,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,318.15,0.72,-0.3285040669720361,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,2,IMNFDUFMRHMDMM-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,heptane,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,328.15,0.7,-0.35667494393873245,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,3,TVMXDCGIABBOFY-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,octane,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,308.15,0.84,-0.1743533871447778,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,3,TVMXDCGIABBOFY-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,octane,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,318.15,0.8,-0.2231435513142097,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,3,TVMXDCGIABBOFY-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,octane,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,328.15,0.77,-0.2613647641344075,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,4,RGSFGYAAUTVSQA-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,cyclopentane,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,308.15,0.42,-0.8675005677047231,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,4,RGSFGYAAUTVSQA-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,cyclopentane,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,318.15,0.42,-0.8675005677047231,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,4,RGSFGYAAUTVSQA-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,cyclopentane,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,328.15,0.41,-0.8915981192837836,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,5,XDTMQSROBMDMFD-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,cyclohexane,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,308.15,0.49,-0.7133498878774648,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,5,XDTMQSROBMDMFD-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,cyclohexane,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,318.15,0.48,-0.7339691750802004,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,5,XDTMQSROBMDMFD-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,cyclohexane,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,328.15,0.44,-0.8209805520698302,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,6,DMEGYFMYUHOHGS-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,cycloheptane,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,308.15,0.54,-0.616186139423817,CHROM:UFactor:2
