label,E_int_ccsdt_cbs_kcal,E_int_ccsdt_adz,E_int_mp2_atz,E_int_b3lyp_d4,diff_kcal,seconds
water->water,-3.8342101817044836,-3.4140616102957675,-3.8863632281673746,-4.680012125030861,-0.8458019433263773,8
methanol->water,-4.701857606764397,-4.280865159796158,-4.737224672797835,-5.476184366352246,-0.7743267595878489,26
water->acetone,-4.270532079964502,-3.9788264127900512,-4.229302280447812,-4.600242527576024,-0.32971044761152246,293
water->acetonitrile,-4.303942730771265,-3.8885245084727433,-4.514142032598479,-4.678710578434821,-0.37476784766355564,46
methylamine->methylamine,-2.911276000023352,-2.487410618863566,-3.000266971119114,-3.5531139052562106,-0.6418379052328587,174
