inchikey,name,dipole_D,n2,eps
IJMWOMHMDSDKGK-UHFFFAOYSA-N,isopropyl_propionate,2.4902920070680077,2.374462899562044,13.812523559052497
FKRCODPIKNYEAC-UHFFFAOYSA-N,ethyl_propionate,2.0827766462622117,2.371853127272456,11.549828614758376
WGLLSSPDPJPLOR-UHFFFAOYSA-N,"2,3-dimethyl-2-butene",2.93330736411761e-06,2.5203425036070333,2.520342503621433
HPEUJPJOZXNMSJ-UHFFFAOYSA-N,octadecanoic_acid_methyl_ester,2.2666213613849147,2.392855625555765,5.383448067930209
AILKHAQXUAOOFU-UHFFFAOYSA-N,hexanenitrile,4.028179244436095,2.3760659965314717,36.14393959724201
RFFFKMOABOFIDF-UHFFFAOYSA-N,valeronitrile,3.861234487131564,2.3554097849356164,38.37231526778816
FOCAUTSVDIKZOP-UHFFFAOYSA-N,chloroacetic_acid,3.061282377261522,2.3111096957487143,31.644429407563173
JXTHNDFMNIQAHM-UHFFFAOYSA-N,dichloroacetic_acid,2.5243354737114525,2.355288545491429,18.342480088404997
BMRWNKZVCUKKSR-SCSAIBSYSA-N,"1,2-butanediol",2.447200896675022,2.312967839675724,16.462415947785644
OWWIWYDDISJUMY-UHFFFAOYSA-N,"2,3-dimethyl-1-butene",0.6635602882298064,2.481858127876082,3.2548461293618622
JVSWJIKNEAIKJW-UHFFFAOYSA-N,2-methylheptane,0.018443277801756388,2.432332470638065,2.432729099574896
HUMNYLRZRPPJDN-UHFFFAOYSA-N,benzaldehyde,3.6504653456590885,2.758417090946408,38.81749198749434
TWSRVQVEYJNFKQ-UHFFFAOYSA-N,n-pentyl_propanoate,2.3423746194711375,2.417012434416887,10.386452681479438
YLQBMQCUIZJEEH-UHFFFAOYSA-N,furan,0.4625800921814733,2.6471708914240075,3.284289578624668
KFUSEUYYWQURPO-OWOJBTEDSA-N,"trans-1,2-dichloroethylene",6.608211485333518e-05,2.4925839950647983,2.4925840052243005
XIRNKXNNONJFQO-UHFFFAOYSA-N,ethyl-hexadecanoate,1.9599721754492312,2.4568608622223707,4.898526624480635
JQVDAXLFBXTEQA-UHFFFAOYSA-N,di-n-butylamine,1.0578897603469972,2.454046262618464,3.841700870237191
WWUVJRULCWHUSA-UHFFFAOYSA-N,2-methyl-1-pentene,0.6652100109732056,2.475607763888848,3.248690469259606
HCDGVLDPFQMKDK-UHFFFAOYSA-N,hexafluoropropylene,1.188204753192016,1.9051780021705145,4.3331284032048725
AFBPFSWMIHJQDM-UHFFFAOYSA-N,n-methylaniline,1.8926538680654077,2.8148448057832516,11.382994378752084
CNDHHGUSRIZDSL-UHFFFAOYSA-N,1-chlorooctane,2.4876479232117177,2.426540629522658,11.067279117265766
WZLFPVPRZGTCKP-UHFFFAOYSA-N,"1,1,1,3,3-pentafluorobutane",2.377793038050539,1.990074254966745,11.807411993434545
XAOGXQMKWQFZEM-UHFFFAOYSA-N,isoamyl_propionate,2.082934162416073,2.4101678428105213,8.532189259196736
MVLVMROFTAUDAG-UHFFFAOYSA-N,octadecanoic_acid_ethyl_ester,2.040740626260163,2.457727347703639,4.8480535857792795
YZWKKMVJZFACSU-UHFFFAOYSA-N,1-bromopentane,,,
JLTDJTHDQAWBAV-UHFFFAOYSA-N,"n,n-dimethylaniline",2.1654248645217065,2.783622650262088,12.54658962916891
KAESVJOAVNADME-UHFFFAOYSA-N,pyrrole,2.0671233848567825,2.7497626357597147,19.45400150872714
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,oleic_acid,2.0356386322726476,2.4649209696521703,5.15627372304893
