kind,rule,idac_mae,vle_median,vle_mean_clip200,n_idac,n_vle,rank
static,arith,1.0149458279691512,5.016615638656124,13.630283782333978,2349,3329,12.0
static,geom,1.0088051902932975,4.72659973338238,13.050147824108551,2349,3329,10.0
static,harm,1.0012341954830497,4.277397805238815,12.393320397322107,2349,3329,5.0
optical,arith,0.9033986774056999,4.353789098866741,11.296196947576103,2349,3329,5.0
optical,geom,0.9026663956779978,4.357442854092124,11.29631091470252,2349,3329,5.0
optical,harm,0.9019268633579139,4.357487786854808,11.296833483400764,2349,3329,5.0
