fam_solute,fam_solvent,n,MAE,bias,model
alkene/alkyne,aromatic HC,146,0.4026677291134314,-0.4026677291134314,cosmosac2010
alkene/alkyne,ether,30,0.3577175658323735,-0.3577175658323735,cosmosac2010
alkene/alkyne,nitrile,1,0.590487532048344,0.590487532048344,cosmosac2010
alkene/alkyne,water,1,0.07956520248011323,0.07956520248011323,cosmosac2010
amide,water,30,1.43901488294292,1.3599115316718557,cosmosac2010
amine,alkane,3,0.4004742015689477,0.4004742015689477,cosmosac2010
amine,aromatic HC,5,0.19906001905725357,0.19906001905725357,cosmosac2010
amine,water,18,1.6076437475098229,1.218074519069838,cosmosac2010
aromatic HC,acid,41,0.14916417177027838,0.08141878418410879,cosmosac2010
aromatic HC,alcohol,133,1.0423042866938728,-0.7439000927661416,cosmosac2010
aromatic HC,amide,16,0.7360349753860953,-0.7360349753860953,cosmosac2010
aromatic HC,amine,18,0.26950830894789923,-0.20463578605685584,cosmosac2010
aromatic HC,aromatic HC,4,0.028151088464766313,-0.028151088464766313,cosmosac2010
aromatic HC,ether,4,0.3804383266906386,0.3804383266906386,cosmosac2010
aromatic HC,ketone/aldehyde,25,0.583599685533325,-0.583599685533325,cosmosac2010
aromatic HC,nitrile,1,0.10727612305952583,-0.10727612305952583,cosmosac2010
aromatic HC,water,4,0.9447311210786512,0.9447311210786512,cosmosac2010
ester,acid,25,0.8724977080089659,-0.8724977080089659,cosmosac2010
ester,alcohol,18,2.835653462865084,2.835653462865084,cosmosac2010
ester,aromatic HC,2,0.04475948979900575,-0.04475948979900575,cosmosac2010
ester,water,50,0.255515085779307,0.2532304811798667,cosmosac2010
ether,acid,25,0.08631679047770976,-0.046436820935488086,cosmosac2010
ether,alcohol,90,0.8075789531898697,0.5721914528349034,cosmosac2010
ether,aromatic HC,29,0.3782407141006171,-0.37176306212006777,cosmosac2010
ether,ether,5,0.22139575794720523,-0.22139575794720523,cosmosac2010
ether,water,64,1.4732146833445081,1.4492240217500696,cosmosac2010
halogenated,acid,102,0.12632436052093038,-0.08930800651471389,cosmosac2010
halogenated,alcohol,106,1.4373422183157019,1.0031055987409712,cosmosac2010
halogenated,amide,1,1.0264990225557038,-1.0264990225557038,cosmosac2010
halogenated,amine,4,0.21609748510254956,-0.21609748510254956,cosmosac2010
halogenated,aromatic HC,30,0.07880256608557204,-0.07219658760963377,cosmosac2010
halogenated,ether,5,0.03606594645037054,-0.03323713537263262,cosmosac2010
